text,label
어린이용인 걸 감안해도 좀 심하다,부정
성의 없는 한글 번역 제목이 모욕적으로 느껴지는 훌륭한 작품,긍정
행복을 밖에서찾아보는 시간도 진정한 행복찾기에꼭 필요.매순간 곁에있는것에대해 감사하기로~~유익한 시간이었어요.,긍정
정말 거짓말 같은 영화. 기대안하고 봤다가 감동의 쓰나미에 하염없이 울었다. 꼭 봐야할 영화. 대를이어 보여줄 영화.,긍정
에휴 진짜 이런 거 때문에 죄없는 애들 정떨어짐,부정
이건 몰까~ 낚시에 걸린 느낌. 낚시에 걸리더라도 줄거리나 연기가 좋았으면 그나마 좋았을텐데 이건 모~~ 솔직히 나도 유사라보고 받았는데... ㅎㅎ 이런식으로 낚시 좀 하지마세요. 포스터가 아깝다.,부정
의미가 없는영화? ㅋㅋ,부정
기억남는 대사들이 많네요. 독특하고 발랄한 독립영화!,긍정
"아우 짜증나!네이버에서 예매했다고 영화관 사이트 드갈때마다 평점쓰라고, 화면 바뀔때마다 평점쓰라고 하니 정말 짜증납니다. 네이버에서 영화 예매하기 싫음",부정
여성부 장관 뺨치는 엄브릿지 연기,긍정
진짜 느끼는게많고 여운쩌는영화,긍정
해리와 샐리를 만났을 때만큼 재미있다..,긍정
3시의결투 표절영화,부정
"""""""이 영화를 알면 간첩""""이라 할정도로 민망스러운 영화""",부정
소유진은 언제까지 딸찾기 방해공작 할거냐? 앵간히 해라 너무 지겹다,부정
"인간관계와 개인의 심리를 잘 표현해 준 작품, 배우의 연기력이 돋보인다. 영화 말미의 인철이의 그 표정과 목소리를 잊을 수 없다.",긍정
"대책없이, 제멋대로, 아무렇게나, 부담없이, 형편없게...",부정
토크쇼를왜라이브로안하는지화신이제대로보여준것같다이럴꺼면클라라특집방송하지딴게트들은왜부름?김구라는몰아가기만하고수위조절도하지도않고분량은?호감이네어쩌네클라라는찡찡대고상식적으로헤어진여자친구한테전화해서사과하라는게말이됨?MC랑PD들은사과하고폐지가답인듯싶다,부정
무식함으로 인해 죄없는 애만..그래서 답답했는데 나같애도 그런 상황이었다면 깨끗한 개밥을 내자식한테 주었을것같다 슬프다,긍정
사랑해요!!!동물농장^^,긍정
진정한 오락물~,긍정
재밌어요.편안하고 기분좋게 볼 수 있네요,긍정
"약간의 재주를 부린 과대망상에 의한 과대망상을 위한 과대망상자의 영화, 평점조정",부정
재미없음...,부정
영화를 보는 내내 밴토마스의 묵직한 책임감이 느껴졌다.,긍정
금발 쟤 못생겼다고 생각하는건 나뿐인가.,부정
주온이라하지말고 걍 원혼의부활을제목으로하는게 낫겠어요,부정
